# This file was produced by bcftools (1.2+htslib-1.2), the command line was:
# 	 bcftools gtcheck  -H test.vcf.gz
# and the working directory was:
# 	 /Users/dancook/coding/git/vcf-toolbox
#
# [1]SM	[2]Average Discordance	[3]Average depth	[4]Average number of sites	[5]Sample	[6]Sample ID
CN	0	61	89.90	ED3017	CX11264
CN	0	64	49.09	ED3017	CX11271
CN	25	50	39.80	ED3017	CX11276
CN	0	77	90.64	ED3017	CX11285
CN	0	59	68.42	ED3017	CX11292
CN	0	51	53.59	ED3017	CX11307
CN	0	57	40.49	ED3017	CX11314
CN	0	42	40.50	ED3017	CX11315
CN	0	86	28.58	ED3017	DL200
CN	0	54	60.02	ED3017	DL226
CN	0	67	70.18	ED3017	DL238
CN	0	62	68.81	ED3017	ED3005
CN	0	48	34.06	ED3017	ED3011
CN	0	31	46.10	ED3017	ED3012
CN	0	61	76.10	ED3040	AB1
CN	0	92	112.28	ED3040	AB4
CN	0	14	80.29	ED3040	CB4851_CGC
CN	0	40	123.47	ED3040	CB4852
CN	0	87	104.79	ED3040	CB4853
CN	0	71	51.30	ED3040	CB4854
CN	0	89	42.60	ED3040	CB4855_UK
CN	0	96	102.81	ED3040	CB4856
CN	0	82	50.26	ED3040	CB4857
CN	0	3	38.67	ED3040	CB4858_UK
CN	0	34	92.15	ED3040	CB4932
CN	0	73	34.40	ED3040	CX11254
CN	0	77	30.19	ED3040	CX11262
CN	0	96	89.03	ED3040	CX11264
CN	0	98	46.46	ED3040	CX11271
CN	0	64	36.67	ED3040	CX11276
CN	0	109	106.58	ED3040	CX11285
CN	0	98	64.85	ED3040	CX11292
CN	0	66	47.24	ED3040	CX11307
CN	0	90	38.57	ED3040	CX11314
CN	0	67	38.24	ED3040	CX11315
CN	0	62	28.98	ED3040	DL200
CN	0	113	55.72	ED3040	DL226
CN	0	78	77.35	ED3040	DL238
CN	0	106	60.53	ED3040	ED3005
CN	0	73	35.38	ED3040	ED3011
CN	0	15	51.60	ED3040	ED3012
CN	0	49	98.73	ED3040	ED3017
CN	0	101	67.49	ED3046	AB1
CN	0	130	80.98	ED3046	AB4
CN	0	26	81.50	ED3046	CB4851_CGC
CN	0	82	81.33	ED3046	CB4852
CN	0	131	78.05	ED3046	CB4853
CN	0	85	49.86	ED3046	CB4854
CN	0	123	40.72	ED3046	CB4855_UK
CN	0	106	82.91	ED3046	CB4856
CN	0	124	47.79	ED3046	CB4857
CN	0	1	24.00	ED3046	CB4858_UK
CN	0	63	78.98	ED3046	CB4932
CN	0	80	34.55	ED3046	CX11254
CN	0	92	30.24	ED3046	CX11262
CN	0	117	77.58	ED3046	CX11264
CN	0	111	45.19	ED3046	CX11271
CN	25	87	36.45	ED3046	CX11276
CN	0	138	82.01	ED3046	CX11285
CN	0	120	64.24	ED3046	CX11292
CN	0	88	48.86	ED3046	CX11307
CN	0	109	37.17	ED3046	CX11314
CN	0	72	37.04	ED3046	CX11315
CN	0	98	28.60	ED3046	DL200
CN	0	114	55.46	ED3046	DL226
CN	0	118	63.86	ED3046	DL238
CN	0	123	59.28	ED3046	ED3005
CN	0	95	33.78	ED3046	ED3011
CN	0	60	43.97	ED3046	ED3012
CN	0	96	82.47	ED3046	ED3017
CN	0	105	86.80	ED3046	ED3040
CN	0	83	53.13	ED3048	AB1
CN	0	109	51.87	ED3048	AB4
CN	0	10	38.00	ED3048	CB4851_CGC
CN	0	78	54.37	ED3048	CB4852
CN	0	126	50.54	ED3048	CB4853
CN	0	93	45.60	ED3048	CB4854
